user_id,neighbor_id,periods,total_timesteps
P_1-1-pt_8289,P_1-2_638,"[{'start_time': 18053, 'end_time': 18768, 'duration': 716}, {'start_time': 18053, 'end_time': 18768, 'duration': 716}]",7155
P_1-1-pt_8289,P_1-2_5753,"[{'start_time': 19457, 'end_time': 19480, 'duration': 24}, {'start_time': 19457, 'end_time': 19480, 'duration': 24}, {'start_time': 20749, 'end_time': 20773, 'duration': 25}, {'start_time': 20749, 'end_time': 20773, 'duration': 25}, {'start_time': 22043, 'end_time': 22066, 'duration': 24}, {'start_time': 22043, 'end_time': 22066, 'duration': 24}, {'start_time': 23335, 'end_time': 23359, 'duration': 25}, {'start_time': 23335, 'end_time': 23359, 'duration': 25}, {'start_time': 24629, 'end_time': 24652, 'duration': 24}, {'start_time': 24629, 'end_time': 24652, 'duration': 24}]",7155
P_1-1-pt_8289,P_1-1-veh_834,"[{'start_time': 20037, 'end_time': 20062, 'duration': 26}, {'start_time': 20037, 'end_time': 20062, 'duration': 26}, {'start_time': 21328, 'end_time': 21357, 'duration': 30}, {'start_time': 21328, 'end_time': 21357, 'duration': 30}, {'start_time': 22622, 'end_time': 22647, 'duration': 26}, {'start_time': 22622, 'end_time': 22647, 'duration': 26}, {'start_time': 23915, 'end_time': 23942, 'duration': 28}, {'start_time': 23915, 'end_time': 23942, 'duration': 28}]",7155
P_1-1-pt_8289,P_1-1-veh_530,"[{'start_time': 20199, 'end_time': 20223, 'duration': 25}, {'start_time': 20199, 'end_time': 20223, 'duration': 25}]",7155
P_1-1-pt_8289,P_1-3_743,"[{'start_time': 21386, 'end_time': 21409, 'duration': 24}, {'start_time': 21386, 'end_time': 21409, 'duration': 24}, {'start_time': 24184, 'end_time': 24208, 'duration': 25}, {'start_time': 24184, 'end_time': 24208, 'duration': 25}]",7155
P_1-1-pt_8289,P_1-3_2599,"[{'start_time': 21811, 'end_time': 21834, 'duration': 24}, {'start_time': 21811, 'end_time': 21834, 'duration': 24}]",7155
P_1-1-pt_8289,P_1-2_5745,"[{'start_time': 21836, 'end_time': 21859, 'duration': 24}, {'start_time': 21836, 'end_time': 21859, 'duration': 24}]",7155
P_1-1-pt_8289,P_1-1-pt_8735,"[{'start_time': 21980, 'end_time': 22004, 'duration': 25}, {'start_time': 21980, 'end_time': 22004, 'duration': 25}]",7155
P_1-1-pt_8289,P_1-2_4266,"[{'start_time': 21987, 'end_time': 22010, 'duration': 24}, {'start_time': 21987, 'end_time': 22010, 'duration': 24}]",7155
P_1-1-pt_8289,P_1-3_3076,"[{'start_time': 22015, 'end_time': 22039, 'duration': 25}, {'start_time': 22015, 'end_time': 22039, 'duration': 25}]",7155
P_1-1-pt_8289,P_1-1-pt_182,"[{'start_time': 22134, 'end_time': 22158, 'duration': 25}, {'start_time': 22134, 'end_time': 22158, 'duration': 25}]",7155
P_1-1-pt_8289,P_1-3_4289,"[{'start_time': 22300, 'end_time': 22323, 'duration': 24}, {'start_time': 22300, 'end_time': 22323, 'duration': 24}]",7155
P_1-2_638,P_1-1-pt_8184,"[{'start_time': 18718, 'end_time': 18757, 'duration': 40}, {'start_time': 18718, 'end_time': 18757, 'duration': 40}, {'start_time': 18780, 'end_time': 18839, 'duration': 60}, {'start_time': 18780, 'end_time': 18839, 'duration': 60}]",7148
P_1-2_638,P_1-1-pt_8289,"[{'start_time': 18053, 'end_time': 18768, 'duration': 716}, {'start_time': 18053, 'end_time': 18768, 'duration': 716}]",7148
P_1-3_2454,P_1-1-veh_234,"[{'start_time': 18629, 'end_time': 18647, 'duration': 19}, {'start_time': 18629, 'end_time': 18647, 'duration': 19}]",7144
P_1-3_2454,P_1-1-pt_8682,"[{'start_time': 19637, 'end_time': 19647, 'duration': 11}, {'start_time': 19637, 'end_time': 19647, 'duration': 11}]",7144
P_1-3_2454,P_1-2_3389,"[{'start_time': 20798, 'end_time': 20817, 'duration': 20}, {'start_time': 20798, 'end_time': 20817, 'duration': 20}]",7144
P_1-3_2454,P_1-2_4206,"[{'start_time': 21132, 'end_time': 21156, 'duration': 25}, {'start_time': 21132, 'end_time': 21156, 'duration': 25}, {'start_time': 22610, 'end_time': 22635, 'duration': 26}, {'start_time': 22610, 'end_time': 22635, 'duration': 26}]",7144
P_1-3_2454,P_1-3_1500,"[{'start_time': 21248, 'end_time': 21273, 'duration': 26}, {'start_time': 21248, 'end_time': 21273, 'duration': 26}, {'start_time': 22682, 'end_time': 22707, 'duration': 26}, {'start_time': 22682, 'end_time': 22707, 'duration': 26}]",7144
P_1-3_2454,P_1-3_3901,"[{'start_time': 21312, 'end_time': 21337, 'duration': 26}, {'start_time': 21312, 'end_time': 21337, 'duration': 26}, {'start_time': 22747, 'end_time': 22772, 'duration': 26}, {'start_time': 22747, 'end_time': 22772, 'duration': 26}]",7144
P_1-3_2454,P_1-2_1420,"[{'start_time': 21409, 'end_time': 21434, 'duration': 26}, {'start_time': 21409, 'end_time': 21434, 'duration': 26}, {'start_time': 22864, 'end_time': 22889, 'duration': 26}, {'start_time': 22864, 'end_time': 22889, 'duration': 26}]",7144
P_1-3_2454,P_1-3_228,"[{'start_time': 21442, 'end_time': 21466, 'duration': 25}, {'start_time': 21442, 'end_time': 21466, 'duration': 25}, {'start_time': 22877, 'end_time': 22901, 'duration': 25}, {'start_time': 22877, 'end_time': 22901, 'duration': 25}]",7144
P_1-3_2454,P_1-3_3776,"[{'start_time': 21580, 'end_time': 21604, 'duration': 25}, {'start_time': 21580, 'end_time': 21604, 'duration': 25}, {'start_time': 23115, 'end_time': 23139, 'duration': 25}, {'start_time': 23115, 'end_time': 23139, 'duration': 25}]",7144
P_1-3_2454,P_2-1_2161,"[{'start_time': 21855, 'end_time': 21879, 'duration': 25}, {'start_time': 21855, 'end_time': 21879, 'duration': 25}, {'start_time': 23310, 'end_time': 23334, 'duration': 25}, {'start_time': 23310, 'end_time': 23334, 'duration': 25}]",7144
P_1-3_2454,P_1-3_874,"[{'start_time': 21934, 'end_time': 21958, 'duration': 25}, {'start_time': 21934, 'end_time': 21958, 'duration': 25}]",7144
P_1-3_2454,P_1-2_4734,"[{'start_time': 22466, 'end_time': 22490, 'duration': 25}, {'start_time': 22466, 'end_time': 22490, 'duration': 25}, {'start_time': 23920, 'end_time': 23944, 'duration': 25}, {'start_time': 23920, 'end_time': 23944, 'duration': 25}]",7144
P_1-3_2454,P_1-3_3834,"[{'start_time': 23089, 'end_time': 23113, 'duration': 25}, {'start_time': 23089, 'end_time': 23113, 'duration': 25}]",7144
P_1-3_2454,P_1-2_3280,"[{'start_time': 23419, 'end_time': 23443, 'duration': 25}, {'start_time': 23419, 'end_time': 23443, 'duration': 25}]",7144
P_1-3_2454,P_1-3_3046,"[{'start_time': 23504, 'end_time': 23529, 'duration': 26}, {'start_time': 23504, 'end_time': 23529, 'duration': 26}]",7144
P_1-3_2454,P_1-3_3457,"[{'start_time': 23550, 'end_time': 23574, 'duration': 25}, {'start_time': 23550, 'end_time': 23574, 'duration': 25}]",7144
P_1-3_2454,P_1-3_4168,"[{'start_time': 23712, 'end_time': 23736, 'duration': 25}, {'start_time': 23712, 'end_time': 23736, 'duration': 25}]",7144
P_1-3_2454,P_1-3_2053,"[{'start_time': 23912, 'end_time': 23936, 'duration': 25}, {'start_time': 23912, 'end_time': 23936, 'duration': 25}]",7144
P_1-3_2454,P_1-2_5951,"[{'start_time': 24123, 'end_time': 24147, 'duration': 25}, {'start_time': 24123, 'end_time': 24147, 'duration': 25}]",7144
P_1-3_2454,P_1-3_4690,"[{'start_time': 24741, 'end_time': 24765, 'duration': 25}, {'start_time': 24741, 'end_time': 24765, 'duration': 25}]",7144
